Source,Target,Type,weight,book
Euron-Greyjoy,Hotho-Harlaw,Undirected,4,4
Euron-Greyjoy,Humfrey-Hewett,Undirected,3,4
Euron-Greyjoy,Nute,Undirected,4,4
Euron-Greyjoy,Quellon-Greyjoy,Undirected,3,4
Euron-Greyjoy,Sawane-Botley,Undirected,3,4
Gorold-Goodbrother,Victarion-Greyjoy,Undirected,3,4
Meldred-Merlyn,Victarion-Greyjoy,Undirected,3,4
Murenmure,Theon-Greyjoy,Undirected,3,4
Theon-Greyjoy,Wyman-Manderly,Undirected,3,4
Theon-Greyjoy,Walder-Frey-(son-of-Merrett),Undirected,6,4
Theon-Greyjoy,Yellow-Dick,Undirected,5,4
Theon-Greyjoy,Walda-Frey-(daughter-of-Merrett),Undirected,3,4
Theon-Greyjoy,Walder-Frey-(son-of-Jammos),Undirected,6,4
Theon-Greyjoy,Wex-Pyke,Undirected,3,4
Theon-Greyjoy,Willow-Witch-eye,Undirected,4,4
Victarion-Greyjoy,Wulfe,Undirected,3,4
Aerys-II-Targaryen,Cersei-Lannister,Undirected,3,4
Aerys-II-Targaryen,Jaime-Lannister,Undirected,6,4
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,10,4
Aerys-II-Targaryen,Barristan-Selmy,Undirected,4,4
Aerys-II-Targaryen,Denys-Darklyn,Undirected,4,4
Aerys-II-Targaryen,Elbert-Arryn,Undirected,3,4
Aerys-II-Targaryen,Owen-Merryweather,Undirected,3,4
Aerys-II-Targaryen,Robert-Baratheon,Undirected,8,4
Aerys-II-Targaryen,Tywin-Lannister,Undirected,16,4
Barristan-Selmy,Rhaegar-Targaryen,Undirected,3,4
Barristan-Selmy,Quentyn-Martell,Undirected,22,4
Barristan-Selmy,Tyrion-Lannister,Undirected,3,4
Barristan-Selmy,Varys,Undirected,3,4
Barristan-Selmy,Daenerys-Targaryen,Undirected,75,4
Barristan-Selmy,Daario-Naharis,Undirected,18,4
Barristan-Selmy,Grey-Worm,Undirected,6,4
Barristan-Selmy,Jhogo,Undirected,3,4
Barristan-Selmy,Gerris-Drinkwater,Undirected,4,4
Barristan-Selmy,Belwas,Undirected,9,4
Barristan-Selmy,Ben-Plumm,Undirected,4,4
Barristan-Selmy,Bloodbeard,Undirected,3,4
Barristan-Selmy,Galazza-Galare,Undirected,5,4
Barristan-Selmy,Grazhar,Undirected,3,4
Barristan-Selmy,Groleo,Undirected,8,4
Barristan-Selmy,Hizdahr-zo-Loraq,Undirected,42,4
Barristan-Selmy,Khrazz,Undirected,8,4
Barristan-Selmy,Larraq,Undirected,3,4
Barristan-Selmy,Missandei,Undirected,8,4
Barristan-Selmy,Reznak-mo-Reznak,Undirected,7,4
Barristan-Selmy,Skahaz-mo-Kandaq,Undirected,21,4
Barristan-Selmy,Steelskin,Undirected,3,4
Barristan-Selmy,Widower,Undirected,3,4
Barristan-Selmy,Xaro-Xhoan-Daxos,Undirected,3,4
Robert-Baratheon,Tywin-Lannister,Undirected,3,4
Robert-Baratheon,Stannis-Baratheon,Undirected,15,4
Robert-Baratheon,Tommen-Baratheon,Undirected,9,4
Robert-Baratheon,Tyrion-Lannister,Undirected,6,4
Robert-Baratheon,Taena-of-Myr,Undirected,5,4
Robert-Baratheon,Viserys-Targaryen,Undirected,3,4
Robert-Baratheon,Val,Undirected,3,4
Robert-Baratheon,Willam-Dustin,Undirected,3,4
Tywin-Lannister,Wylis-Manderly,Undirected,3,4
Alla-Tyrell,Elinor-Tyrell,Undirected,8,4
Alla-Tyrell,Margaery-Tyrell,Undirected,7,4
Alla-Tyrell,Megga-Tyrell,Undirected,10,4
Alla-Tyrell,Osney-Kettleblack,Undirected,3,4
Elinor-Tyrell,Margaery-Tyrell,Undirected,5,4
Elinor-Tyrell,Megga-Tyrell,Undirected,10,4
Elinor-Tyrell,Tallad,Undirected,3,4
Margaery-Tyrell,Robert-Baratheon,Undirected,5,4
Margaery-Tyrell,Megga-Tyrell,Undirected,9,4
Margaery-Tyrell,Osney-Kettleblack,Undirected,14,4
Margaery-Tyrell,Sansa-Stark,Undirected,3,4
Margaery-Tyrell,Orton-Merryweather,Undirected,4,4
Margaery-Tyrell,Tommen-Baratheon,Undirected,46,4
Margaery-Tyrell,Qyburn,Undirected,6,4
Margaery-Tyrell,Tallad,Undirected,3,4
Margaery-Tyrell,Osmund-Kettleblack,Undirected,8,4
Margaery-Tyrell,Olenna-Redwyne,Undirected,3,4
Margaery-Tyrell,Senelle,Undirected,3,4
Margaery-Tyrell,Taena-of-Myr,Undirected,15,4
Margaery-Tyrell,Willas-Tyrell,Undirected,3,4
Osney-Kettleblack,Stannis-Baratheon,Undirected,3,4
Osney-Kettleblack,Tommen-Baratheon,Undirected,6,4
Osney-Kettleblack,Taena-of-Myr,Undirected,3,4
Armen,Leo-Tyrell,Undirected,3,4
Armen,Marwyn,Undirected,3,4
Armen,Mollander,Undirected,3,4
Armen,Pate-(novice),Undirected,5,4
Armen,Roone,Undirected,4,4
Leo-Tyrell,Samwell-Tarly,Undirected,3,4
Leo-Tyrell,Pate-(novice),Undirected,8,4
Leo-Tyrell,Roone,Undirected,3,4
Marwyn,Samwell-Tarly,Undirected,6,4
Mollander,Pate-(novice),Undirected,3,4
Mollander,Roone,Undirected,7,4
Pate-(novice),Walgrave,Undirected,10,4
Pate-(novice),Quill,Undirected,4,4
Pate-(novice),Rosey,Undirected,9,4
Alys-Arryn,Elys-Waynwood,Undirected,4,4
Alys-Arryn,Jon-Arryn,Undirected,3,4
Jon-Arryn,Robert-Baratheon,Undirected,3,4
Jon-Arryn,Petyr-Baelish,Undirected,3,4
Jon-Arryn,Lysa-Arryn,Undirected,3,4
Jon-Arryn,Tyrion-Lannister,Undirected,3,4
Amerei-Frey,Jaime-Lannister,Undirected,6,4
Amerei-Frey,Lyle-Crakehall,Undirected,4,4
Amerei-Frey,Lancel-Lannister,Undirected,10,4
Lancel-Lannister,Osmund-Kettleblack,Undirected,13,4
Lancel-Lannister,Moon-Boy,Undirected,11,4
Anders-Yronwood,Quentyn-Martell,Undirected,4,4
Quentyn-Martell,Trystane-Martell,Undirected,3,4
Quentyn-Martell,Tattered-Prince,Undirected,14,4
Andrey-Dalt,Arianne-Martell,Undirected,10,4
Andrey-Dalt,Garin-(orphan),Undirected,11,4
Andrey-Dalt,Myrcella-Baratheon,Undirected,4,4
Andrey-Dalt,Sylva-Santagar,Undirected,8,4
Andrey-Dalt,Tyene-Sand,Undirected,4,4
Arianne-Martell,Quentyn-Martell,Undirected,8,4
Arianne-Martell,Garin-(orphan),Undirected,18,4
Arianne-Martell,Myrcella-Baratheon,Undirected,16,4
Arianne-Martell,Sylva-Santagar,Undirected,10,4
Arianne-Martell,Tyene-Sand,Undirected,4,4
Arianne-Martell,Arys-Oakheart,Undirected,19,4
Arianne-Martell,Doran-Martell,Undirected,26,4
Arianne-Martell,Obara-Sand,Undirected,5,4
Arianne-Martell,Oberyn-Martell,Undirected,3,4
Arianne-Martell,Cedra,Undirected,8,4
Arianne-Martell,Franklyn-Fowler,Undirected,3,4
Arianne-Martell,Gerold-Dayne,Undirected,11,4
Arianne-Martell,Mellei,Undirected,3,4
Arianne-Martell,Morra,Undirected,3,4
Arianne-Martell,Ricasso,Undirected,3,4
Arianne-Martell,Timoth,Undirected,3,4
Arianne-Martell,Balon-Swann,Undirected,5,4
Arianne-Martell,Ellaria-Sand,Undirected,3,4
Garin-(orphan),Myrcella-Baratheon,Undirected,5,4
Garin-(orphan),Sylva-Santagar,Undirected,8,4
Garin-(orphan),Tyene-Sand,Undirected,5,4
Garin-(orphan),Gerold-Dayne,Undirected,5,4
Garin-(orphan),Nymeria-Sand,Undirected,3,4
Myrcella-Baratheon,Sylva-Santagar,Undirected,4,4
Myrcella-Baratheon,Stannis-Baratheon,Undirected,3,4
Myrcella-Baratheon,Tommen-Baratheon,Undirected,11,4
Myrcella-Baratheon,Tyrion-Lannister,Undirected,9,4
Myrcella-Baratheon,Trystane-Martell,Undirected,10,4
Sylva-Santagar,Tyene-Sand,Undirected,3,4
Anya-Waynwood,Benedar-Belmore,Undirected,4,4
Anya-Waynwood,Gilwood-Hunter,Undirected,6,4
Anya-Waynwood,Harrold-Hardyng,Undirected,6,4
Anya-Waynwood,Horton-Redfort,Undirected,7,4
Anya-Waynwood,Petyr-Baelish,Undirected,10,4
Anya-Waynwood,Symond-Templeton,Undirected,6,4
Anya-Waynwood,Yohn-Royce,Undirected,5,4
Benedar-Belmore,Gilwood-Hunter,Undirected,3,4
Benedar-Belmore,Horton-Redfort,Undirected,5,4
Benedar-Belmore,Petyr-Baelish,Undirected,5,4
Benedar-Belmore,Symond-Templeton,Undirected,4,4
Gilwood-Hunter,Horton-Redfort,Undirected,6,4
Gilwood-Hunter,Symond-Templeton,Undirected,4,4
Gilwood-Hunter,Lysa-Arryn,Undirected,3,4
Harrold-Hardyng,Yohn-Royce,Undirected,3,4
Harrold-Hardyng,Robert-Arryn,Undirected,4,4
Horton-Redfort,Yohn-Royce,Undirected,3,4
Petyr-Baelish,Symond-Templeton,Undirected,5,4
Petyr-Baelish,Yohn-Royce,Undirected,12,4
Petyr-Baelish,Sansa-Stark,Undirected,18,4
Petyr-Baelish,Tyrion-Lannister,Undirected,5,4
Petyr-Baelish,Pycelle,Undirected,4,4
Petyr-Baelish,Varys,Undirected,4,4
Petyr-Baelish,Robert-Arryn,Undirected,22,4
Symond-Templeton,Yohn-Royce,Undirected,4,4
Areo-Hotah,Arianne-Martell,Undirected,28,4
Areo-Hotah,Myrcella-Baratheon,Undirected,5,4
Areo-Hotah,Arys-Oakheart,Undirected,11,4
Areo-Hotah,Caleotte,Undirected,7,4
Areo-Hotah,Doran-Martell,Undirected,44,4
Areo-Hotah,Obara-Sand,Undirected,13,4
Areo-Hotah,Oberyn-Martell,Undirected,3,4
Areo-Hotah,Balon-Swann,Undirected,4,4
Areo-Hotah,Ellaria-Sand,Undirected,3,4
Arys-Oakheart,Garin-(orphan),Undirected,3,4
Arys-Oakheart,Myrcella-Baratheon,Undirected,18,4
Arys-Oakheart,Doran-Martell,Undirected,3,4
Arys-Oakheart,Gerold-Dayne,Undirected,6,4
Caleotte,Doran-Martell,Undirected,11,4
Caleotte,Obara-Sand,Undirected,5,4
Caleotte,Gregor-Clegane,Undirected,4,4
Doran-Martell,Robert-Baratheon,Undirected,3,4
Doran-Martell,Tywin-Lannister,Undirected,4,4
Doran-Martell,Quentyn-Martell,Undirected,4,4
Doran-Martell,Myrcella-Baratheon,Undirected,11,4
Doran-Martell,Tyene-Sand,Undirected,6,4
Doran-Martell,Obara-Sand,Undirected,12,4
Doran-Martell,Oberyn-Martell,Undirected,10,4
Doran-Martell,Gregor-Clegane,Undirected,8,4
Doran-Martell,Nymeria-Sand,Undirected,7,4
Doran-Martell,Viserys-Targaryen,Undirected,3,4
Doran-Martell,Ellaria-Sand,Undirected,3,4
Obara-Sand,Tyene-Sand,Undirected,16,4
Oberyn-Martell,Tyene-Sand,Undirected,3,4
Cedra,Garin-(orphan),Undirected,5,4
Gerold-Dayne,Myrcella-Baratheon,Undirected,9,4
Mellei,Morra,Undirected,5,4
Arya-Stark,Dareon,Undirected,5,4
Arya-Stark,Jon-Snow,Undirected,12,4
Arya-Stark,Theon-Greyjoy,Undirected,7,4
Arya-Stark,Bellegere-Otherys,Undirected,3,4
Arya-Stark,Brea,Undirected,5,4
Arya-Stark,Brusco,Undirected,10,4
Arya-Stark,Denyo-Terys,Undirected,8,4
Arya-Stark,Kindly-Man,Undirected,17,4
Arya-Stark,Meralyn,Undirected,9,4
Arya-Stark,Nan,Undirected,5,4
Arya-Stark,Sandor-Clegane,Undirected,3,4
Arya-Stark,Sansa-Stark,Undirected,8,4
Arya-Stark,Syrio-Forel,Undirected,4,4
Arya-Stark,Talea,Undirected,4,4
Arya-Stark,Ternesio-Terys,Undirected,5,4
Arya-Stark,Umma,Undirected,6,4
Arya-Stark,Waif,Undirected,20,4
Arya-Stark,Yorko-Terys,Undirected,6,4
Arya-Stark,Bran-Stark,Undirected,7,4
Arya-Stark,Eddard-Stark,Undirected,4,4
Arya-Stark,Melisandre,Undirected,4,4
Arya-Stark,Jeyne-Poole,Undirected,4,4
Arya-Stark,Mance-Rayder,Undirected,3,4
Arya-Stark,Ramsay-Snow,Undirected,5,4
Brea,Brusco,Undirected,6,4
Brea,Talea,Undirected,4,4
Denyo-Terys,Ternesio-Terys,Undirected,3,4
Kindly-Man,Waif,Undirected,13,4
Sandor-Clegane,Sansa-Stark,Undirected,3,4
Sandor-Clegane,Thoros-of-Myr,Undirected,3,4
Sandor-Clegane,Timeon,Undirected,4,4
Sandor-Clegane,Tyrion-Lannister,Undirected,3,4
Sandor-Clegane,Tickler,Undirected,4,4
Sansa-Stark,Tywin-Lannister,Undirected,3,4
Sansa-Stark,Yohn-Royce,Undirected,3,4
Sansa-Stark,Tyrion-Lannister,Undirected,6,4
Rodrik-Harlaw,Victarion-Greyjoy,Undirected,3,4
Rodrik-Harlaw,Sigfryd-Harlaw,Undirected,3,4
Aurane-Waters,Cersei-Lannister,Undirected,9,4
Aurane-Waters,Margaery-Tyrell,Undirected,5,4
Aurane-Waters,Gyles-Rosby,Undirected,3,4
Aurane-Waters,Harys-Swyft,Undirected,5,4
Aurane-Waters,Loras-Tyrell,Undirected,3,4
Aurane-Waters,Orton-Merryweather,Undirected,3,4
Aurane-Waters,Paxter-Redwyne,Undirected,3,4
Aurane-Waters,Stannis-Baratheon,Undirected,3,4
Aurane-Waters,Tommen-Baratheon,Undirected,3,4
Gyles-Rosby,Margaery-Tyrell,Undirected,5,4
Gyles-Rosby,Harys-Swyft,Undirected,6,4
Gyles-Rosby,Orton-Merryweather,Undirected,4,4
Gyles-Rosby,Qyburn,Undirected,4,4
Gyles-Rosby,Mace-Tyrell,Undirected,3,4
Gyles-Rosby,Pycelle,Undirected,12,4
Harys-Swyft,Orton-Merryweather,Undirected,3,4
Harys-Swyft,Stannis-Baratheon,Undirected,3,4
Harys-Swyft,Tommen-Baratheon,Undirected,3,4
