Id,Label
Addam-Marbrand,Addam Marbrand
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron)
Aegon-I-Targaryen,Aegon I Targaryen
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar)
Aegon-V-Targaryen,Aegon V Targaryen
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight)
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon)
Aenys-Frey,Aenys Frey
Aeron-Greyjoy,Aeron Greyjoy
Aerys-I-Targaryen,Aerys I Targaryen
Aerys-II-Targaryen,Aerys II Targaryen
Aggar,Aggar
Aggo,Aggo
Alayaya,Alayaya
Albett,Albett
Alebelly,Alebelly
Alerie-Hightower,Alerie Hightower
Alester-Florent,Alester Florent
Alla-Tyrell,Alla Tyrell
Allar-Deem,Allar Deem
Allard-Seaworth,Allard Seaworth
Alleras,Alleras
Alliser-Thorne,Alliser Thorne
Alyn,Alyn
Alys-Arryn,Alys Arryn
Alys-Karstark,Alys Karstark
Alysane-Mormont,Alysane Mormont
Amabel,Amabel
Amerei-Frey,Amerei Frey
Amory-Lorch,Amory Lorch
Anders-Yronwood,Anders Yronwood
Andrew-Estermont,Andrew Estermont
Andrey-Dalt,Andrey Dalt
Anguy,Anguy
Anya-Waynwood,Anya Waynwood
Archibald-Yronwood,Archibald Yronwood
Ardrian-Celtigar,Ardrian Celtigar
Areo-Hotah,Areo Hotah
Arianne-Martell,Arianne Martell
Armen,Armen
Arnolf-Karstark,Arnolf Karstark
Aron-Santagar,Aron Santagar
Arron,Arron
Arson,Arson
Arstan,Arstan
Arthor-Karstark,Arthor Karstark
Arthur-Dayne,Arthur Dayne
Arwyn-Oakheart,Arwyn Oakheart
Arya-Stark,Arya Stark
Arys-Oakheart,Arys Oakheart
Asha-Greyjoy,Asha Greyjoy
Ashara-Dayne,Ashara Dayne
Aurane-Waters,Aurane Waters
Axell-Florent,Axell Florent
Azor-Ahai,Azor Ahai
Bael-the-Bard,Bael the Bard
Baelor-Blacktyde,Baelor Blacktyde
Baelor-I-Targaryen,Baelor I Targaryen
Ballabar,Ballabar
Balman-Byrch,Balman Byrch
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon Swann
Bannen,Bannen
Barbrey-Dustin,Barbrey Dustin
Barristan-Selmy,Barristan Selmy
Barsena,Barsena
Bartimus,Bartimus
Bedwyck,Bedwyck
Belaquo,Belaquo
Bellegere-Otherys,Bellegere Otherys
Belwas,Belwas
Ben-Bones,Ben Bones
Ben-Plumm,Ben Plumm
Benedar-Belmore,Benedar Belmore
Benerro,Benerro
Benethon-Scales,Benethon Scales
Benfred-Tallhart,Benfred Tallhart
Benjen-Stark,Benjen Stark
Beric-Dondarrion,Beric Dondarrion
Beth-Cassel,Beth Cassel
Big-Boil,Big Boil
Biter,Biter
Black-Balaq,Black Balaq
Blane,Blane
Bloodbeard,Bloodbeard
Blue-Bard,Blue Bard
Bonifer-Hasty,Bonifer Hasty
Boros-Blount,Boros Blount
Bowen-Marsh,Bowen Marsh
Bran-Stark,Bran Stark
Brandon-Norrey,Brandon Norrey
Brandon-Stark,Brandon Stark
Brea,Brea
Brella,Brella
Brenett,Brenett
Brienne-of-Tarth,Brienne of Tarth
Bronn,Bronn
Brus-Buckler,Brus Buckler
Brusco,Brusco
Bryce-Caron,Bryce Caron
Brynden-Rivers,Brynden Rivers
Brynden-Tully,Brynden Tully
Bump,Bump
Butterbumps,Butterbumps
Byam-Flint,Byam Flint
Caggo,Caggo
Caleotte,Caleotte
Camarron,Camarron
Captain-Myraham,Captain Myraham
Captain-Myraham-Daughter,Captain Myraham Daughter
Catelyn-Stark,Catelyn Stark
Cayn,Cayn
Cedra,Cedra
Cedric-Payne,Cedric Payne
Cellador,Cellador
Cersei-Lannister,Cersei Lannister
Chataya,Chataya
Chayle,Chayle
Chella,Chella
Chett,Chett
Chiggen,Chiggen
Chiswyck,Chiswyck
Clarence-Crabb,Clarence Crabb
Clayton-Suggs,Clayton Suggs
Clement-Piper,Clement Piper
Cleon,Cleon
Cleos-Frey,Cleos Frey
Cletus-Yronwood,Cletus Yronwood
Cley-Cerwyn,Cley Cerwyn
Clubfoot-Karl,Clubfoot Karl
Clydas,Clydas
Cohollo,Cohollo
Coldhands,Coldhands
Colemon,Colemon
Colen-of-Greenpools,Colen of Greenpools
Conn,Conn
Coratt,Coratt
Corliss-Penny,Corliss Penny
Cortnay-Penrose,Cortnay Penrose
Cotter-Pyke,Cotter Pyke
Craster,Craster
Creighton-Longbough,Creighton Longbough
Cressen,Cressen
Cromm,Cromm
Cutjack,Cutjack
Daario-Naharis,Daario Naharis
Dacey-Mormont,Dacey Mormont
Daemon-Sand,Daemon Sand
Daenerys-Targaryen,Daenerys Targaryen
Daeron-I-Targaryen,Daeron I Targaryen
Daeron-II-Targaryen,Daeron II Targaryen
Dagmer,Dagmer
Dalbridge,Dalbridge
Dalla,Dalla
Damon-Dance-for-Me,Damon Dance for Me
Dancy,Dancy
Danwell-Frey,Danwell Frey
Dareon,Dareon
Daryn-Hornwood,Daryn Hornwood
Daven-Lannister,Daven Lannister
Davos-Seaworth,Davos Seaworth
Denyo-Terys,Denyo Terys
Denys-Darklyn,Denys Darklyn
Denys-Mallister,Denys Mallister
Denzo-Dhan,Denzo Dhan
Desmond,Desmond
Desmond-Grell,Desmond Grell
Devan-Seaworth,Devan Seaworth
Dick-Crabb,Dick Crabb
Dick-Follard,Dick Follard
Dick-Straw,Dick Straw
Dirk,Dirk
Dobber,Dobber
Dolf,Dolf
Donal-Noye,Donal Noye
Donella-Hornwood,Donella Hornwood
Donnel-Waynwood,Donnel Waynwood
Dontos-Hollard,Dontos Hollard
Doran-Martell,Doran Martell
Dorcas,Dorcas
Doreah,Doreah
Draqaz,Draqaz
Drennan,Drennan
Drogo,Drogo
Dryn,Dryn
Dunsen,Dunsen
Dunstan-Drumm,Dunstan Drumm
Dywen,Dywen
Ebben,Ebben
Eddard-Stark,Eddard Stark
Eddison-Tollett,Eddison Tollett
Edmure-Tully,Edmure Tully
Edric-Storm,Edric Storm
Edwyn-Frey,Edwyn Frey
Elbert-Arryn,Elbert Arryn
Elder-Brother,Elder Brother
Eldon-Estermont,Eldon Estermont
Elia-Martell,Elia Martell
Elinor-Tyrell,Elinor Tyrell
Ellaria-Sand,Ellaria Sand
Elmar-Frey,Elmar Frey
Elys-Waynwood,Elys Waynwood
Emmett,Emmett
Emmon-Cuy,Emmon Cuy
Emmon-Frey,Emmon Frey
Emmond,Emmond
Emrick,Emrick
Eon-Hunter,Eon Hunter
Eroeh,Eroeh
Errok,Errok
Euron-Greyjoy,Euron Greyjoy
Eustace-Brune,Eustace Brune
Ezzara,Ezzara
Falyse-Stokeworth,Falyse Stokeworth
Farlen,Farlen
Florian-the-Fool,Florian the Fool
Fogo,Fogo
Forley-Prester,Forley Prester
Franklyn-Flowers,Franklyn Flowers
Franklyn-Fowler,Franklyn Fowler
Frenken,Frenken
Frenya,Frenya
Fulk,Fulk
Galazza-Galare,Galazza Galare
Galbart-Glover,Galbart Glover
Galyeon-of-Cuy,Galyeon of Cuy
Gared,Gared
Garin-(orphan),Garin (orphan)
Gariss,Gariss
Garlan-Tyrell,Garlan Tyrell
Garrett-Paege,Garrett Paege
Garth-(Wolfs-Den),Garth (Wolfs Den)
Garth-Greyfeather,Garth Greyfeather
Garth-Tyrell,Garth Tyrell
Gawen-Westerling,Gawen Westerling
Gelmarr,Gelmarr
Gendel,Gendel
Gendry,Gendry
Genna-Lannister,Genna Lannister
Gerald-Gower,Gerald Gower
Gerold-Dayne,Gerold Dayne
Gerold-Grafton,Gerold Grafton
Gerold-Hightower,Gerold Hightower
Gerrick-Kingsblood,Gerrick Kingsblood
Gerris-Drinkwater,Gerris Drinkwater
Ghael,Ghael
Gilly,Gilly
Gilwood-Hunter,Gilwood Hunter
Godric-Borrell,Godric Borrell
Godry-Farring,Godry Farring
Goghor-the-Giant,Goghor the Giant
Gormon-Tyrell,Gormon Tyrell
Gormond-Goodbrother,Gormond Goodbrother
Gorne,Gorne
Gorold-Goodbrother,Gorold Goodbrother
Grazdan-mo-Eraz,Grazdan mo Eraz
Grazhar,Grazhar
Greenbeard,Greenbeard
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Gretchel,Gretchel
Grey-Worm,Grey Worm
