Source,Target,Type,id,label,timeset,weight,book
Addam-Marbrand,Gyles-Rosby,Undirected,0,,,3.0,3
Addam-Marbrand,Jaime-Lannister,Undirected,1,,,3.0,3
Addam-Marbrand,Jalabhar-Xho,Undirected,2,,,3.0,3
Addam-Marbrand,Joffrey-Baratheon,Undirected,3,,,3.0,3
Addam-Marbrand,Kevan-Lannister,Undirected,4,,,3.0,3
Addam-Marbrand,Oberyn-Martell,Undirected,5,,,3.0,3
Addam-Marbrand,Tyrion-Lannister,Undirected,6,,,7.0,3
Addam-Marbrand,Varys,Undirected,7,,,4.0,3
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,8,,,4.0,3
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,9,,,5.0,3
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,10,,,3.0,3
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,11,,,6.0,3
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,12,,,4.0,3
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,13,,,4.0,3
Aegon-I-Targaryen,Torrhen-Stark,Undirected,14,,,3.0,3
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,15,,,3.0,3
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,16,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,17,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,18,,,16.0,3
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,19,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,20,,,4.0,3
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,21,,,11.0,3
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,22,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,23,,,5.0,3
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,24,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,25,,,5.0,3
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,26,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,27,,,36.0,3
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,28,,,5.0,3
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,29,,,3.0,3
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,30,,,5.0,3
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,31,,,5.0,3
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,32,,,32.0,3
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,33,,,9.0,3
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,34,,,3.0,3
Aerys-II-Targaryen,Arthur-Dayne,Undirected,35,,,5.0,3
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,36,,,3.0,3
Aerys-II-Targaryen,Jaime-Lannister,Undirected,37,,,22.0,3
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,38,,,6.0,3
Aerys-II-Targaryen,Robert-Baratheon,Undirected,39,,,9.0,3
Aerys-II-Targaryen,Rossart,Undirected,40,,,4.0,3
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,41,,,6.0,3
Aerys-II-Targaryen,Tywin-Lannister,Undirected,42,,,10.0,3
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,43,,,3.0,3
Aggo,Jhogo,Undirected,44,,,4.0,3
Aggo,Rakharo,Undirected,45,,,3.0,3
Alayaya,Bronn,Undirected,46,,,3.0,3
Alayaya,Cersei-Lannister,Undirected,47,,,3.0,3
Alayaya,Tyrion-Lannister,Undirected,48,,,4.0,3
Alerie-Hightower,Mace-Tyrell,Undirected,49,,,3.0,3
Alerie-Hightower,Margaery-Tyrell,Undirected,50,,,3.0,3
Alester-Florent,Axell-Florent,Undirected,51,,,4.0,3
Alester-Florent,Davos-Seaworth,Undirected,52,,,11.0,3
Alester-Florent,Lamprey,Undirected,53,,,3.0,3
Alester-Florent,Selyse-Florent,Undirected,54,,,4.0,3
Alester-Florent,Stannis-Baratheon,Undirected,55,,,4.0,3
Alla-Tyrell,Elinor-Tyrell,Undirected,56,,,5.0,3
Alla-Tyrell,Megga-Tyrell,Undirected,57,,,6.0,3
Alla-Tyrell,Sansa-Stark,Undirected,58,,,4.0,3
Alliser-Thorne,Janos-Slynt,Undirected,59,,,13.0,3
Alliser-Thorne,Jon-Snow,Undirected,60,,,22.0,3
Alliser-Thorne,Mance-Rayder,Undirected,61,,,6.0,3
Alliser-Thorne,Qhorin-Halfhand,Undirected,62,,,4.0,3
Alliser-Thorne,Samwell-Tarly,Undirected,63,,,4.0,3
Alliser-Thorne,Stannis-Baratheon,Undirected,64,,,3.0,3
Amory-Lorch,Gregor-Clegane,Undirected,65,,,3.0,3
