Id,Label
Addam-Marbrand,Addam Marbrand
Aegon-I-Targaryen,Aegon I Targaryen
Aegon-Targaryen-(son-of-Rhaegar),Aegon (son of Rhaegar)
Aegon-V-Targaryen,Aegon V Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon)
Aenys-Frey,Aenys Frey
Aeron-Greyjoy,Aeron
Aerys-II-Targaryen,Aerys II Targaryen
Aggo,Aggo
Alla-Tyrell,Alla Tyrell
Alleras,Alleras
Alliser-Thorne,Alliser Thorne
Alys-Arryn,Alys Arryn
Alys-Karstark,Alys Karstark
Alysane-Mormont,Alysane Mormont
Amerei-Frey,Amerei Frey
Anders-Yronwood,Anders Yronwood
Andrey-Dalt,Andrey Dalt
Anya-Waynwood,Anya Waynwood
Archibald-Yronwood,Archibald Yronwood
Areo-Hotah,Areo Hotah
Arianne-Martell,Arianne
Armen,Armen
Arnolf-Karstark,Arnolf Karstark
Arron,Arron
Arthor-Karstark,Arthor Karstark
Arya-Stark,Arya
Arys-Oakheart,Arys Oakheart
Asha-Greyjoy,Asha
Ashara-Dayne,Ashara Dayne
Aurane-Waters,Aurane Waters
Axell-Florent,Axell Florent
Azor-Ahai,Azor Ahai
Baelor-Blacktyde,Baelor Blacktyde
Baelor-I-Targaryen,Baelor I Targaryen
Balman-Byrch,Balman Byrch
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon Swann
Barbrey-Dustin,Barbrey Dustin
Barristan-Selmy,Barristan
Barsena,Barsena
Bartimus,Bartimus
Belaquo,Belaquo
Bellegere-Otherys,Bellegere Otherys
Belwas,Belwas
Ben-Bones,Ben Bones
Ben-Plumm,Ben Plumm
Benedar-Belmore,Benedar Belmore
Benerro,Benerro
Benethon-Scales,Benethon Scales
Benjen-Stark,Benjen Stark
Beric-Dondarrion,Beric Dondarrion
Biter,Biter
Black-Balaq,Black Balaq
Bloodbeard,Bloodbeard
Blue-Bard,Blue Bard
Bonifer-Hasty,Bonifer Hasty
Boros-Blount,Boros Blount
Bowen-Marsh,Bowen Marsh
Bran-Stark,Bran
Brandon-Norrey,Brandon Norrey
Brea,Brea
Brella,Brella
Brienne-of-Tarth,Brienne
Bronn,Bronn
Brus-Buckler,Brus Buckler
Brusco,Brusco
Brynden-Rivers,Brynden Rivers
Brynden-Tully,Brynden Tully
Bump,Bump
Caggo,Caggo
Caleotte,Caleotte
Camarron,Camarron
Catelyn-Stark,Catelyn
Cedra,Cedra
Cedric-Payne,Cedric Payne
Cellador,Cellador
Cersei-Lannister,Cersei
Clarence-Crabb,Clarence Crabb
Clayton-Suggs,Clayton Suggs
Clement-Piper,Clement Piper
Cleon,Cleon
Cleos-Frey,Cleos Frey
Cletus-Yronwood,Cletus Yronwood
Clydas,Clydas
Coldhands,Coldhands
Colemon,Colemon
Corliss-Penny,Corliss Penny
Cotter-Pyke,Cotter Pyke
Craster,Craster
Creighton-Longbough,Creighton Longbough
Cromm,Cromm
Daario-Naharis,Daario Naharis
Daemon-Sand,Daemon Sand
Daenerys-Targaryen,Daenerys
Daeron-II-Targaryen,Daeron II Targaryen
Dalla,Dalla
Damon-Dance-for-Me,Damon Dance for Me
Dareon,Dareon
Daven-Lannister,Daven Lannister
Davos-Seaworth,Davos
Denyo-Terys,Denyo Terys
Denys-Darklyn,Denys Darklyn
Denys-Mallister,Denys Mallister
Denzo-Dhan,Denzo Dhan
Devan-Seaworth,Devan Seaworth
Dick-Crabb,Dick Crabb
Dick-Straw,Dick Straw
Donal-Noye,Donal Noye
Dontos-Hollard,Dontos Hollard
Doran-Martell,Doran
Dorcas,Dorcas
Draqaz,Draqaz
Drogo,Drogo
Dryn,Dryn
Dunsen,Dunsen
Dunstan-Drumm,Dunstan Drumm
Eddard-Stark,Ned
Eddison-Tollett,Eddison Tollett
Edmure-Tully,Edmure Tully
Edwyn-Frey,Edwyn Frey
Elbert-Arryn,Elbert Arryn
Elder-Brother,Elder Brother
Elia-Martell,Elia Martell
Elinor-Tyrell,Elinor Tyrell
Ellaria-Sand,Ellaria Sand
Elys-Waynwood,Elys Waynwood
Emmett,Emmett
Emmon-Frey,Emmon Frey
Emmond,Emmond
Emrick,Emrick
Eroeh,Eroeh
Euron-Greyjoy,Euron
Eustace-Brune,Eustace Brune
Ezzara,Ezzara
Falyse-Stokeworth,Falyse Stokeworth
Forley-Prester,Forley Prester
Franklyn-Flowers,Franklyn Flowers
Franklyn-Fowler,Franklyn Fowler
Frenya,Frenya
Fulk,Fulk
Galazza-Galare,Galazza Galare
Galbart-Glover,Galbart Glover
Garin-(orphan),Garin (orphan)
Garlan-Tyrell,Garlan Tyrell
Garrett-Paege,Garrett Paege
Garth-(Wolfs-Den),Garth (Wolfs Den)
Garth-Greyfeather,Garth Greyfeather
Garth-Tyrell,Garth Tyrell
Gendry,Gendry
Genna-Lannister,Genna Lannister
Gerold-Dayne,Gerold Dayne
Gerold-Grafton,Gerold Grafton
Gerrick-Kingsblood,Gerrick Kingsblood
Gerris-Drinkwater,Gerris Drinkwater
Ghael,Ghael
Gilly,Gilly
Gilwood-Hunter,Gilwood Hunter
Godric-Borrell,Godric Borrell
Godry-Farring,Godry Farring
Goghor-the-Giant,Goghor the Giant
Gormon-Tyrell,Gormon Tyrell
Gormond-Goodbrother,Gormond Goodbrother
Gorold-Goodbrother,Gorold Goodbrother
Grazhar,Grazhar
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Gretchel,Gretchel
Grey-Worm,Grey Worm
Greydon-Goodbrother,Greydon Goodbrother
Grimtongue,Grimtongue
Groleo,Groleo
Grunt,Grunt
Gyles-Grafton,Gyles Grafton
Gyles-Rosby,Gyles Rosby
Hagen,Hagen
Haggon,Haggon
Hairy-Hal,Hairy Hal
Haldon,Haldon
Hareth-(Moles-Town),Hareth (Moles Town)
Harl,Harl
Harras-Harlaw,Harras Harlaw
Harrold-Hardyng,Harrold Hardyng
Harry-Strickland,Harry Strickland
Harwood-Stout,Harwood Stout
Harys-Swyft,Harys Swyft
Hero,Hero
High-Septon-(Tyrions),High Septon (Tyrions)
High-Sparrow,High Sparrow
Hizdahr-zo-Loraq,Hizdahr
Hobb,Hobb
Hodor,Hodor
Holly,Holly
Hop-Robin,Hop Robin
Horton-Redfort,Horton Redfort
Hosteen-Frey,Hosteen Frey
Hoster-Blackwood,Hoster Blackwood
Hother-Umber,Hother Umber
Hotho-Harlaw,Hotho Harlaw
Hugh-Hungerford,Hugh Hungerford
Hugo-Vance,Hugo Vance
Humfrey-Hewett,Humfrey Hewett
Hyle-Hunt,Hyle Hunt
Illifer,Illifer
Illyrio-Mopatis,Illyrio Mopatis
Ilyn-Payne,Ilyn Payne
Irri,Irri
Jack-Bulwer,Jack Bulwer
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen
Jaime-Lannister,Jaime
Jalabhar-Xho,Jalabhar Xho
Janos-Slynt,Janos Slynt
Jared-Frey,Jared Frey
Jeor-Mormont,Jeor Mormont
Jeyne-Farman,Jeyne Farman
Jeyne-Heddle,Jeyne Heddle
Jeyne-Poole,Jeyne Poole
Jeyne-Westerling,Jeyne Westerling
Jhiqui,Jhiqui
Jhogo,Jhogo
Jocelyn-Swyft,Jocelyn Swyft
Joffrey-Baratheon,Joffrey
Jojen-Reed,Jojen Reed
Jon-Arryn,Jon Arryn
Jon-Connington,Jon Connington
Jon-Snow,Jon
Jon-Umber-(Greatjon),Jon Umber (Greatjon)
Jonos-Bracken,Jonos Bracken
Jorah-Mormont,Jorah Mormont
Joramun,Joramun
Josmyn-Peckledon,Josmyn Peckledon
Joy-Hill,Joy Hill
Justin-Massey,Justin Massey
Karyl-Vance,Karyl Vance
Kasporio,Kasporio
Kedry,Kedry
Kerwin,Kerwin
Kevan-Lannister,Kevan Lannister
Khrazz,Khrazz
Kindly-Man,Kindly Man
Kojja-Mo,Kojja Mo
Lambert-Turnberry,Lambert Turnberry
Lancel-Lannister,Lancel Lannister
Lanna-(Happy-Port),Lanna (Happy Port)
Larraq,Larraq
Leaf,Leaf
Leathers,Leathers
Lemore,Lemore
Leo-Tyrell,Leo Tyrell
Leona-Woolfield,Leona Woolfield
Lewys-Piper,Lewys Piper
Lollys-Stokeworth,Lollys Stokeworth
Longwater-Pyke,Longwater Pyke
Loras-Tyrell,Loras Tyrell
Lorren,Lorren
Lothor-Brune,Lothor Brune
Lucas-Codd,Lucas Codd
Lucifer-Long,Lucifer Long
Luton,Luton
Luwin,Luwin
Lyanna-Mormont,Lyanna Mormont
Lyanna-Stark,Lyanna Stark
Lyle-Crakehall,Lyle Crakehall
Lyn-Corbray,Lyn Corbray
Lyonel-Corbray,Lyonel Corbray
Lysa-Arryn,Lysa Arryn
Lysono-Maar,Lysono Maar
Mace-Tyrell,Mace Tyrell
Maddy,Maddy
Maege-Mormont,Maege Mormont
Maegor-I-Targaryen,Maegor I Targaryen
Maggy,Maggy
Malaquo-Maegyr,Malaquo Maegyr
Malegorn,Malegorn
Mance-Rayder,Mance Rayder
Manfrey-Martell,Manfrey Martell
Margaery-Tyrell,Margaery
Marghaz-zo-Loraq,Marghaz zo Loraq
Marillion,Marillion
Mariya-Darry,Mariya Darry
Mark-Mullendore,Mark Mullendore
Marlon-Manderly,Marlon Manderly
Marselen,Marselen
Marwyn,Marwyn
Marya-Seaworth,Marya Seaworth
Mathis-Rowan,Mathis Rowan
Meera-Reed,Meera Reed
Megga-Tyrell,Megga Tyrell
Melara-Hetherspoon,Melara Hetherspoon
Meldred-Merlyn,Meldred Merlyn
Melisandre,Melisandre
Mellei,Mellei
Meralyn,Meralyn
Meribald,Meribald
Meris,Meris
Meryn-Trant,Meryn Trant
Mezzara,Mezzara
Miklaz,Miklaz
Missandei,Missandei
Moelle,Moelle
Mollander,Mollander
Moon-Boy,Moon Boy
Moqorro,Moqorro
Morgo,Morgo
Morra,Morra
Mors-Umber,Mors Umber
Mully,Mully
Murenmure,Murenmure
Mya-Stone,Mya Stone
Myles-Toyne,Myles Toyne
Myranda-Royce,Myranda Royce
Myrcella-Baratheon,Myrcella
Nan,Nan
Narbert,Narbert
Narbert-Grandison,Narbert Grandison
Nestor-Royce,Nestor Royce
Nurse,Nurse
Nute,Nute
Nyessos-Vhassar,Nyessos Vhassar
Nymeria-Sand,Nymeria Sand
Obara-Sand,Obara Sand
