Source,Target,Type,id,label,timeset,weight,book
Asha-Greyjoy,Balon-Greyjoy,Undirected,111,,,3.0,2
Asha-Greyjoy,Dagmer,Undirected,112,,,5.0,2
Asha-Greyjoy,Theon-Greyjoy,Undirected,113,,,35.0,2
Asha-Greyjoy,Wex-Pyke,Undirected,114,,,3.0,2
Axell-Florent,Selyse-Florent,Undirected,115,,,3.0,2
Axell-Florent,Stannis-Baratheon,Undirected,116,,,6.0,2
Bael-the-Bard,Ygritte,Undirected,117,,,5.0,2
Ballabar,Podrick-Payne,Undirected,118,,,3.0,2
Ballabar,Tyrion-Lannister,Undirected,119,,,12.0,2
Balon-Greyjoy,Catelyn-Stark,Undirected,120,,,3.0,2
Balon-Greyjoy,Dagmer,Undirected,121,,,3.0,2
Balon-Greyjoy,Eddard-Stark,Undirected,122,,,4.0,2
Balon-Greyjoy,Robb-Stark,Undirected,123,,,5.0,2
Balon-Greyjoy,Robert-Baratheon,Undirected,124,,,4.0,2
Balon-Greyjoy,Theon-Greyjoy,Undirected,125,,,27.0,2
Balon-Greyjoy,Victarion-Greyjoy,Undirected,126,,,4.0,2
Balon-Swann,Joffrey-Baratheon,Undirected,127,,,6.0,2
Balon-Swann,Mandon-Moore,Undirected,128,,,3.0,2
Balon-Swann,Meryn-Trant,Undirected,129,,,3.0,2
Balon-Swann,Osmund-Kettleblack,Undirected,130,,,4.0,2
Balon-Swann,Tyrion-Lannister,Undirected,131,,,8.0,2
Barristan-Selmy,Belwas,Undirected,132,,,5.0,2
Barristan-Selmy,Cersei-Lannister,Undirected,133,,,5.0,2
Barristan-Selmy,Daenerys-Targaryen,Undirected,134,,,3.0,2
Barristan-Selmy,Joffrey-Baratheon,Undirected,135,,,7.0,2
Barristan-Selmy,Robert-Baratheon,Undirected,136,,,3.0,2
Barristan-Selmy,Varys,Undirected,137,,,3.0,2
Belwas,Daenerys-Targaryen,Undirected,138,,,5.0,2
Belwas,Jhogo,Undirected,139,,,3.0,2
Belwas,Jorah-Mormont,Undirected,140,,,4.0,2
Benfred-Tallhart,Helman-Tallhart,Undirected,141,,,3.0,2
Benfred-Tallhart,Leobald-Tallhart,Undirected,142,,,3.0,2
Benfred-Tallhart,Stygg,Undirected,143,,,3.0,2
Benfred-Tallhart,Theon-Greyjoy,Undirected,144,,,7.0,2
Benjen-Stark,Jeor-Mormont,Undirected,145,,,5.0,2
Beric-Dondarrion,Thoros-of-Myr,Undirected,146,,,3.0,2
Beth-Cassel,Bran-Stark,Undirected,147,,,4.0,2
Beth-Cassel,Rodrik-Cassel,Undirected,148,,,4.0,2
Beth-Cassel,Theon-Greyjoy,Undirected,149,,,3.0,2
Biter,Jaqen-Hghar,Undirected,150,,,12.0,2
Biter,Rorge,Undirected,151,,,14.0,2
Biter,Yoren,Undirected,152,,,3.0,2
Boros-Blount,Cersei-Lannister,Undirected,153,,,7.0,2
Boros-Blount,Gyles-Rosby,Undirected,154,,,5.0,2
Boros-Blount,Joffrey-Baratheon,Undirected,155,,,11.0,2
Boros-Blount,Meryn-Trant,Undirected,156,,,13.0,2
Boros-Blount,Sansa-Stark,Undirected,157,,,8.0,2
Boros-Blount,Tanda-Stokeworth,Undirected,158,,,3.0,2
Boros-Blount,Tommen-Baratheon,Undirected,159,,,3.0,2
Boros-Blount,Tyrion-Lannister,Undirected,160,,,8.0,2
Bran-Stark,Catelyn-Stark,Undirected,161,,,3.0,2
Bran-Stark,Chayle,Undirected,162,,,3.0,2
