Source,Target,Type,id,label,timeset,weight
Addam-Marbrand,Jaime-Lannister,Undirected,0,,,3.0
Addam-Marbrand,Tywin-Lannister,Undirected,1,,,6.0
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,2,,,5.0
Aegon-I-Targaryen,Eddard-Stark,Undirected,3,,,4.0
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,,,4.0
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,5,,,4.0
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,6,,,9.0
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,7,,,5.0
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,8,,,13.0
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,9,,,34.0
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,10,,,5.0
Aerys-II-Targaryen,Brandon-Stark,Undirected,11,,,4.0
Aerys-II-Targaryen,Eddard-Stark,Undirected,12,,,10.0
Aerys-II-Targaryen,Gerold-Hightower,Undirected,13,,,3.0
Aerys-II-Targaryen,Jaime-Lannister,Undirected,14,,,5.0
Aerys-II-Targaryen,Jon-Arryn,Undirected,15,,,3.0
Aerys-II-Targaryen,Robert-Baratheon,Undirected,16,,,12.0
Aggo,Daenerys-Targaryen,Undirected,17,,,11.0
Aggo,Drogo,Undirected,18,,,6.0
Aggo,Jhogo,Undirected,19,,,4.0
Aggo,Jorah-Mormont,Undirected,20,,,5.0
Aggo,Quaro,Undirected,21,,,3.0
Aggo,Rakharo,Undirected,22,,,7.0
Albett,Halder,Undirected,23,,,3.0
Albett,Jon-Snow,Undirected,24,,,5.0
Albett,Rast,Undirected,25,,,3.0
Alliser-Thorne,Bowen-Marsh,Undirected,26,,,3.0
Alliser-Thorne,Grenn,Undirected,27,,,3.0
Alliser-Thorne,Halder,Undirected,28,,,4.0
Alliser-Thorne,Jeor-Mormont,Undirected,29,,,10.0
Alliser-Thorne,Jon-Snow,Undirected,30,,,32.0
Alliser-Thorne,Pypar,Undirected,31,,,4.0
Alliser-Thorne,Rast,Undirected,32,,,5.0
Alliser-Thorne,Samwell-Tarly,Undirected,33,,,8.0
Alliser-Thorne,Tyrion-Lannister,Undirected,34,,,7.0
Alyn,Eddard-Stark,Undirected,35,,,11.0
Alyn,Harwin,Undirected,36,,,6.0
Alyn,Jory-Cassel,Undirected,37,,,8.0
Alyn,Robert-Baratheon,Undirected,38,,,4.0
Alyn,Tomard,Undirected,39,,,3.0
Arthur-Dayne,Gerold-Hightower,Undirected,40,,,4.0
Arya-Stark,Benjen-Stark,Undirected,41,,,3.0
Arya-Stark,Bran-Stark,Undirected,42,,,14.0
Arya-Stark,Catelyn-Stark,Undirected,43,,,5.0
Arya-Stark,Cersei-Lannister,Undirected,44,,,12.0
Arya-Stark,Desmond,Undirected,45,,,3.0
Arya-Stark,Eddard-Stark,Undirected,46,,,30.0
Arya-Stark,Ilyn-Payne,Undirected,47,,,5.0
Arya-Stark,Jeyne-Poole,Undirected,48,,,10.0
Arya-Stark,Joffrey-Baratheon,Undirected,49,,,39.0
Arya-Stark,Jon-Snow,Undirected,50,,,37.0
Arya-Stark,Jory-Cassel,Undirected,51,,,12.0
Arya-Stark,Meryn-Trant,Undirected,52,,,4.0
Arya-Stark,Mordane,Undirected,53,,,39.0
Arya-Stark,Mycah,Undirected,54,,,18.0
Arya-Stark,Myrcella-Baratheon,Undirected,55,,,13.0
Arya-Stark,Petyr-Baelish,Undirected,56,,,3.0
Arya-Stark,Rickon-Stark,Undirected,57,,,7.0
Arya-Stark,Robb-Stark,Undirected,58,,,15.0
Arya-Stark,Robert-Baratheon,Undirected,59,,,8.0
Arya-Stark,Rodrik-Cassel,Undirected,60,,,3.0
Arya-Stark,Sandor-Clegane,Undirected,61,,,7.0
Arya-Stark,Sansa-Stark,Undirected,62,,,104.0
Arya-Stark,Syrio-Forel,Undirected,63,,,20.0
Arya-Stark,Tomard,Undirected,64,,,6.0
Arya-Stark,Tommen-Baratheon,Undirected,65,,,5.0
Arya-Stark,Vayon-Poole,Undirected,66,,,4.0
Arya-Stark,Yoren,Undirected,67,,,4.0
Arys-Oakheart,Cersei-Lannister,Undirected,68,,,3.0
Balon-Greyjoy,Eddard-Stark,Undirected,69,,,3.0
