Source,Target,Type,id,label,timeset,weight
Balon-Greyjoy,Robert-Baratheon,Undirected,70,,,4.0
Balon-Swann,Renly-Baratheon,Undirected,71,,,3.0
Balon-Swann,Sandor-Clegane,Undirected,72,,,3.0
Barristan-Selmy,Boros-Blount,Undirected,73,,,3.0
Barristan-Selmy,Cersei-Lannister,Undirected,74,,,12.0
Barristan-Selmy,Eddard-Stark,Undirected,75,,,28.0
Barristan-Selmy,Jaime-Lannister,Undirected,76,,,4.0
Barristan-Selmy,Joffrey-Baratheon,Undirected,77,,,6.0
Barristan-Selmy,Jon-Arryn,Undirected,78,,,4.0
Barristan-Selmy,Meryn-Trant,Undirected,79,,,3.0
Barristan-Selmy,Petyr-Baelish,Undirected,80,,,7.0
Barristan-Selmy,Pycelle,Undirected,81,,,8.0
Barristan-Selmy,Renly-Baratheon,Undirected,82,,,13.0
Barristan-Selmy,Robert-Baratheon,Undirected,83,,,40.0
Barristan-Selmy,Sandor-Clegane,Undirected,84,,,3.0
Barristan-Selmy,Sansa-Stark,Undirected,85,,,3.0
Barristan-Selmy,Varys,Undirected,86,,,9.0
Benjen-Stark,Bran-Stark,Undirected,87,,,6.0
Benjen-Stark,Cersei-Lannister,Undirected,88,,,3.0
Benjen-Stark,Jaremy-Rykker,Undirected,89,,,3.0
Benjen-Stark,Jeor-Mormont,Undirected,90,,,9.0
Benjen-Stark,Jon-Snow,Undirected,91,,,41.0
Benjen-Stark,Luwin,Undirected,92,,,7.0
Benjen-Stark,Mance-Rayder,Undirected,93,,,3.0
Benjen-Stark,Robb-Stark,Undirected,94,,,7.0
Benjen-Stark,Robert-Baratheon,Undirected,95,,,3.0
Benjen-Stark,Theon-Greyjoy,Undirected,96,,,4.0
Benjen-Stark,Tyrion-Lannister,Undirected,97,,,8.0
Benjen-Stark,Waymar-Royce,Undirected,98,,,3.0
Benjen-Stark,Yoren,Undirected,99,,,4.0
Beric-Dondarrion,Eddard-Stark,Undirected,100,,,3.0
Beric-Dondarrion,Gregor-Clegane,Undirected,101,,,6.0
Beric-Dondarrion,Loras-Tyrell,Undirected,102,,,5.0
Beric-Dondarrion,Robert-Baratheon,Undirected,103,,,5.0
Beric-Dondarrion,Sansa-Stark,Undirected,104,,,4.0
Beric-Dondarrion,Thoros-of-Myr,Undirected,105,,,5.0
Boros-Blount,Cersei-Lannister,Undirected,106,,,9.0
Boros-Blount,Joffrey-Baratheon,Undirected,107,,,3.0
Boros-Blount,Meryn-Trant,Undirected,108,,,5.0
Boros-Blount,Sansa-Stark,Undirected,109,,,6.0
Bowen-Marsh,Jeor-Mormont,Undirected,110,,,8.0
Bowen-Marsh,Jon-Snow,Undirected,111,,,10.0
Bowen-Marsh,Samwell-Tarly,Undirected,112,,,3.0
Bran-Stark,Catelyn-Stark,Undirected,113,,,18.0
Bran-Stark,Cersei-Lannister,Undirected,114,,,6.0
Bran-Stark,Eddard-Stark,Undirected,115,,,19.0
Bran-Stark,Hali,Undirected,116,,,3.0
Bran-Stark,Hallis-Mollen,Undirected,117,,,3.0
Bran-Stark,Hodor,Undirected,118,,,29.0
Bran-Stark,Hullen,Undirected,119,,,3.0
Bran-Stark,Jeor-Mormont,Undirected,120,,,4.0
Bran-Stark,Joffrey-Baratheon,Undirected,121,,,3.0
Bran-Stark,Jon-Arryn,Undirected,122,,,7.0
Bran-Stark,Jon-Snow,Undirected,123,,,56.0
Bran-Stark,Jory-Cassel,Undirected,124,,,11.0
Bran-Stark,Joseth,Undirected,125,,,4.0
Bran-Stark,Luwin,Undirected,126,,,65.0
Bran-Stark,Nan,Undirected,127,,,17.0
Bran-Stark,Osha,Undirected,128,,,12.0
Bran-Stark,Petyr-Baelish,Undirected,129,,,3.0
Bran-Stark,Renly-Baratheon,Undirected,130,,,3.0
Bran-Stark,Rickard-Karstark,Undirected,131,,,4.0
Bran-Stark,Rickard-Stark,Undirected,132,,,4.0
Bran-Stark,Rickon-Stark,Undirected,133,,,32.0
Bran-Stark,Robb-Stark,Undirected,134,,,112.0
Bran-Stark,Robert-Baratheon,Undirected,135,,,11.0
Bran-Stark,Rodrik-Cassel,Undirected,136,,,6.0
Bran-Stark,Sansa-Stark,Undirected,137,,,10.0
Bran-Stark,Stiv,Undirected,138,,,4.0
Bran-Stark,Theon-Greyjoy,Undirected,139,,,23.0
Bran-Stark,Tommen-Baratheon,Undirected,140,,,5.0
Bran-Stark,Tyrion-Lannister,Undirected,141,,,31.0
Bran-Stark,Yoren,Undirected,142,,,3.0
Brandon-Stark,Eddard-Stark,Undirected,143,,,11.0
Brandon-Stark,Lyanna-Stark,Undirected,144,,,4.0
Brandon-Stark,Petyr-Baelish,Undirected,145,,,14.0
Brandon-Stark,Rickard-Stark,Undirected,146,,,3.0
Brandon-Stark,Robert-Baratheon,Undirected,147,,,5.0
Bronn,Catelyn-Stark,Undirected,148,,,6.0
Bronn,Chiggen,Undirected,149,,,8.0
Bronn,Marillion,Undirected,150,,,4.0
Bronn,Rodrik-Cassel,Undirected,151,,,4.0
Bronn,Shae,Undirected,152,,,3.0
Bronn,Shagga,Undirected,153,,,3.0
Bronn,Tyrion-Lannister,Undirected,154,,,61.0
Bronn,Tywin-Lannister,Undirected,155,,,4.0
Bronn,Vardis-Egen,Undirected,156,,,11.0
Bronn,Willis-Wode,Undirected,157,,,5.0
Brynden-Tully,Catelyn-Stark,Undirected,158,,,16.0
Brynden-Tully,Edmure-Tully,Undirected,159,,,3.0
Brynden-Tully,Hoster-Tully,Undirected,160,,,5.0
Brynden-Tully,Jaime-Lannister,Undirected,161,,,7.0
Brynden-Tully,Lysa-Arryn,Undirected,162,,,10.0
Brynden-Tully,Nestor-Royce,Undirected,163,,,3.0
Brynden-Tully,Robb-Stark,Undirected,164,,,9.0
Brynden-Tully,Theon-Greyjoy,Undirected,165,,,6.0
Brynden-Tully,Tyrion-Lannister,Undirected,166,,,4.0
Brynden-Tully,Tywin-Lannister,Undirected,167,,,3.0
Brynden-Tully,Walder-Frey,Undirected,168,,,3.0
Catelyn-Stark,Cersei-Lannister,Undirected,169,,,12.0
Catelyn-Stark,Colemon,Undirected,170,,,3.0
Catelyn-Stark,Donnel-Waynwood,Undirected,171,,,3.0
Catelyn-Stark,Eddard-Stark,Undirected,172,,,64.0
Catelyn-Stark,Edmure-Tully,Undirected,173,,,7.0
Catelyn-Stark,Eon-Hunter,Undirected,174,,,3.0
Catelyn-Stark,Hallis-Mollen,Undirected,175,,,10.0
Catelyn-Stark,Hoster-Tully,Undirected,176,,,6.0
Catelyn-Stark,Jaime-Lannister,Undirected,177,,,9.0
Catelyn-Stark,Joffrey-Baratheon,Undirected,178,,,4.0
Catelyn-Stark,Jon-Arryn,Undirected,179,,,11.0
Catelyn-Stark,Jon-Snow,Undirected,180,,,14.0
Catelyn-Stark,Jon-Umber-(Greatjon),Undirected,181,,,4.0
Catelyn-Stark,Luwin,Undirected,182,,,14.0
Catelyn-Stark,Lysa-Arryn,Undirected,183,,,33.0
Catelyn-Stark,Marillion,Undirected,184,,,6.0
Catelyn-Stark,Masha-Heddle,Undirected,185,,,5.0
Catelyn-Stark,Moreo-Tumitis,Undirected,186,,,3.0
Catelyn-Stark,Mya-Stone,Undirected,187,,,9.0
Catelyn-Stark,Mychel-Redfort,Undirected,188,,,3.0
Catelyn-Stark,Nestor-Royce,Undirected,189,,,3.0
Catelyn-Stark,Petyr-Baelish,Undirected,190,,,22.0
Catelyn-Stark,Rickard-Karstark,Undirected,191,,,6.0
Catelyn-Stark,Rickon-Stark,Undirected,192,,,3.0
Catelyn-Stark,Robb-Stark,Undirected,193,,,49.0
Catelyn-Stark,Robert-Arryn,Undirected,194,,,3.0
Catelyn-Stark,Robert-Baratheon,Undirected,195,,,22.0
Catelyn-Stark,Rodrik-Cassel,Undirected,196,,,25.0
Catelyn-Stark,Sansa-Stark,Undirected,197,,,9.0
Catelyn-Stark,Stevron-Frey,Undirected,198,,,5.0
Catelyn-Stark,Theon-Greyjoy,Undirected,199,,,9.0
Catelyn-Stark,Tyrion-Lannister,Undirected,200,,,49.0
Catelyn-Stark,Tytos-Blackwood,Undirected,201,,,4.0
Catelyn-Stark,Tywin-Lannister,Undirected,202,,,7.0
Catelyn-Stark,Vardis-Egen,Undirected,203,,,5.0
Catelyn-Stark,Varys,Undirected,204,,,10.0
Catelyn-Stark,Walder-Frey,Undirected,205,,,13.0
Catelyn-Stark,Wendel-Manderly,Undirected,206,,,3.0
Catelyn-Stark,Willis-Wode,Undirected,207,,,5.0
Cayn,Eddard-Stark,Undirected,208,,,7.0
Cayn,Renly-Baratheon,Undirected,209,,,3.0
Cayn,Tomard,Undirected,210,,,6.0
Cersei-Lannister,Eddard-Stark,Undirected,211,,,69.0
Cersei-Lannister,Ilyn-Payne,Undirected,212,,,4.0
Cersei-Lannister,Jaime-Lannister,Undirected,213,,,16.0
Cersei-Lannister,Janos-Slynt,Undirected,214,,,4.0
Cersei-Lannister,Joffrey-Baratheon,Undirected,215,,,42.0
Cersei-Lannister,Jon-Arryn,Undirected,216,,,7.0
Cersei-Lannister,Jon-Snow,Undirected,217,,,4.0
Cersei-Lannister,Jory-Cassel,Undirected,218,,,5.0
Cersei-Lannister,Meryn-Trant,Undirected,219,,,4.0
Cersei-Lannister,Mordane,Undirected,220,,,3.0
Cersei-Lannister,Myrcella-Baratheon,Undirected,221,,,7.0
Cersei-Lannister,Petyr-Baelish,Undirected,222,,,13.0
Cersei-Lannister,Pycelle,Undirected,223,,,9.0
Cersei-Lannister,Renly-Baratheon,Undirected,224,,,5.0
Cersei-Lannister,Robert-Baratheon,Undirected,225,,,72.0
Cersei-Lannister,Sandor-Clegane,Undirected,226,,,5.0
Cersei-Lannister,Sansa-Stark,Undirected,227,,,29.0
Cersei-Lannister,Stannis-Baratheon,Undirected,228,,,5.0
Cersei-Lannister,Tommen-Baratheon,Undirected,229,,,4.0
Cersei-Lannister,Tyrion-Lannister,Undirected,230,,,27.0
Cersei-Lannister,Tywin-Lannister,Undirected,231,,,10.0
Cersei-Lannister,Varys,Undirected,232,,,19.0
Cersei-Lannister,Vayon-Poole,Undirected,233,,,4.0
Chella,Tyrion-Lannister,Undirected,234,,,5.0
Chett,Jon-Snow,Undirected,235,,,4.0
Chett,Samwell-Tarly,Undirected,236,,,6.0
Chiggen,Tyrion-Lannister,Undirected,237,,,5.0
Chiggen,Willis-Wode,Undirected,238,,,3.0
Clement-Piper,Karyl-Vance,Undirected,239,,,4.0
Cohollo,Daenerys-Targaryen,Undirected,240,,,7.0
Cohollo,Drogo,Undirected,241,,,9.0
Cohollo,Haggo,Undirected,242,,,7.0
Cohollo,Qotho,Undirected,243,,,6.0
Colemon,Vardis-Egen,Undirected,244,,,4.0
Conn,Coratt,Undirected,245,,,5.0
Conn,Shagga,Undirected,246,,,9.0
Conn,Tyrion-Lannister,Undirected,247,,,6.0
Daenerys-Targaryen,Doreah,Undirected,248,,,15.0
Daenerys-Targaryen,Drogo,Undirected,249,,,101.0
Daenerys-Targaryen,Eddard-Stark,Undirected,250,,,5.0
Daenerys-Targaryen,Eroeh,Undirected,251,,,5.0
Daenerys-Targaryen,Haggo,Undirected,252,,,12.0
Daenerys-Targaryen,Illyrio-Mopatis,Undirected,253,,,24.0
Daenerys-Targaryen,Irri,Undirected,254,,,25.0
Daenerys-Targaryen,Jhiqui,Undirected,255,,,26.0
Daenerys-Targaryen,Jhogo,Undirected,256,,,17.0
Daenerys-Targaryen,Jorah-Mormont,Undirected,257,,,75.0
Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,258,,,31.0
Daenerys-Targaryen,Qotho,Undirected,259,,,18.0
Daenerys-Targaryen,Quaro,Undirected,260,,,5.0
Daenerys-Targaryen,Rakharo,Undirected,261,,,4.0
Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,262,,,4.0
Daenerys-Targaryen,Robert-Baratheon,Undirected,263,,,11.0
Daenerys-Targaryen,Varys,Undirected,264,,,5.0
Daenerys-Targaryen,Viserys-Targaryen,Undirected,265,,,37.0
Danwell-Frey,Hosteen-Frey,Undirected,266,,,3.0
Danwell-Frey,Jared-Frey,Undirected,267,,,3.0
Danwell-Frey,Walder-Frey,Undirected,268,,,3.0
Dareon,Jon-Snow,Undirected,269,,,6.0
Daryn-Hornwood,Eddard-Stark,Undirected,270,,,3.0
Daryn-Hornwood,Torrhen-Karstark,Undirected,271,,,3.0
Desmond,Eddard-Stark,Undirected,272,,,4.0
Dolf,Shagga,Undirected,273,,,7.0
Donal-Noye,Jon-Snow,Undirected,274,,,7.0
Doreah,Drogo,Undirected,275,,,5.0
Doreah,Irri,Undirected,276,,,14.0
Doreah,Jhiqui,Undirected,277,,,11.0
Doreah,Jorah-Mormont,Undirected,278,,,3.0
Doreah,Viserys-Targaryen,Undirected,279,,,3.0
Drogo,Haggo,Undirected,280,,,9.0
Drogo,Illyrio-Mopatis,Undirected,281,,,16.0
Drogo,Irri,Undirected,282,,,9.0
Drogo,Jhiqui,Undirected,283,,,5.0
Drogo,Jhogo,Undirected,284,,,7.0
Drogo,Jommo,Undirected,285,,,3.0
Drogo,Jorah-Mormont,Undirected,286,,,16.0
Drogo,Mirri-Maz-Duur,Undirected,287,,,12.0
Drogo,Ogo,Undirected,288,,,11.0
Drogo,Qotho,Undirected,289,,,13.0
Drogo,Quaro,Undirected,290,,,3.0
Drogo,Rakharo,Undirected,291,,,4.0
Drogo,Rhaego,Undirected,292,,,5.0
Drogo,Robert-Baratheon,Undirected,293,,,3.0
Drogo,Viserys-Targaryen,Undirected,294,,,19.0
Dywen,Jon-Snow,Undirected,295,,,4.0
Eddard-Stark,Edmure-Tully,Undirected,296,,,3.0
Eddard-Stark,Galbart-Glover,Undirected,297,,,4.0
Eddard-Stark,Gendry,Undirected,298,,,3.0
Eddard-Stark,Gerold-Hightower,Undirected,299,,,3.0
Eddard-Stark,Gregor-Clegane,Undirected,300,,,10.0
Eddard-Stark,Harwin,Undirected,301,,,5.0
Eddard-Stark,High-Septon-(fat_one),Undirected,302,,,4.0
Eddard-Stark,Howland-Reed,Undirected,303,,,3.0
Eddard-Stark,Ilyn-Payne,Undirected,304,,,6.0
Eddard-Stark,Jacks,Undirected,305,,,4.0
Eddard-Stark,Jaime-Lannister,Undirected,306,,,27.0
Eddard-Stark,Janos-Slynt,Undirected,307,,,4.0
Eddard-Stark,Joffrey-Baratheon,Undirected,308,,,26.0
Eddard-Stark,Jon-Arryn,Undirected,309,,,47.0
Eddard-Stark,Jon-Snow,Undirected,310,,,38.0
Eddard-Stark,Jory-Cassel,Undirected,311,,,32.0
Eddard-Stark,Joss,Undirected,312,,,5.0
Eddard-Stark,Loras-Tyrell,Undirected,313,,,12.0
Eddard-Stark,Luwin,Undirected,314,,,16.0
Eddard-Stark,Lyanna-Stark,Undirected,315,,,19.0
Eddard-Stark,Lysa-Arryn,Undirected,316,,,12.0
Eddard-Stark,Marq-Piper,Undirected,317,,,3.0
Eddard-Stark,Mordane,Undirected,318,,,11.0
Eddard-Stark,Mycah,Undirected,319,,,3.0
Eddard-Stark,Petyr-Baelish,Undirected,320,,,81.0
Eddard-Stark,Porther,Undirected,321,,,4.0
Eddard-Stark,Pycelle,Undirected,322,,,33.0
Eddard-Stark,Raymun-Darry,Undirected,323,,,4.0
Eddard-Stark,Renly-Baratheon,Undirected,324,,,33.0
Eddard-Stark,Rhaegar-Targaryen,Undirected,325,,,10.0
Eddard-Stark,Rickard-Karstark,Undirected,326,,,4.0
Eddard-Stark,Rickon-Stark,Undirected,327,,,4.0
Eddard-Stark,Robb-Stark,Undirected,328,,,16.0
Eddard-Stark,Robert-Baratheon,Undirected,329,,,291.0
Eddard-Stark,Rodrik-Cassel,Undirected,330,,,7.0
Eddard-Stark,Sandor-Clegane,Undirected,331,,,10.0
Eddard-Stark,Sansa-Stark,Undirected,332,,,34.0
Eddard-Stark,Stannis-Baratheon,Undirected,333,,,18.0
Eddard-Stark,Syrio-Forel,Undirected,334,,,6.0
Eddard-Stark,Theon-Greyjoy,Undirected,335,,,5.0
Eddard-Stark,Tobho-Mott,Undirected,336,,,7.0
Eddard-Stark,Tomard,Undirected,337,,,15.0
Eddard-Stark,Torrhen-Karstark,Undirected,338,,,5.0
Eddard-Stark,Tregar,Undirected,339,,,4.0
Eddard-Stark,Tyrion-Lannister,Undirected,340,,,21.0
Eddard-Stark,Tywin-Lannister,Undirected,341,,,18.0
Eddard-Stark,Varly,Undirected,342,,,4.0
Eddard-Stark,Varys,Undirected,343,,,61.0
Eddard-Stark,Vayon-Poole,Undirected,344,,,12.0
Eddard-Stark,Wyl-(guard),Undirected,345,,,3.0
Eddard-Stark,Wylla,Undirected,346,,,3.0
Edmure-Tully,Hoster-Tully,Undirected,347,,,7.0
Edmure-Tully,Jaime-Lannister,Undirected,348,,,4.0
Edmure-Tully,Karyl-Vance,Undirected,349,,,4.0
Edmure-Tully,Lysa-Arryn,Undirected,350,,,5.0
Edmure-Tully,Marq-Piper,Undirected,351,,,3.0
Edmure-Tully,Petyr-Baelish,Undirected,352,,,4.0
Edmure-Tully,Robb-Stark,Undirected,353,,,5.0
Edmure-Tully,Tytos-Blackwood,Undirected,354,,,3.0
Eon-Hunter,Lysa-Arryn,Undirected,355,,,3.0
Eon-Hunter,Vardis-Egen,Undirected,356,,,3.0
Fogo,Ogo,Undirected,357,,,4.0
Galbart-Glover,Jaime-Lannister,Undirected,358,,,3.0
Galbart-Glover,Jon-Umber-(Greatjon),Undirected,359,,,4.0
Galbart-Glover,Rickard-Karstark,Undirected,360,,,4.0
Galbart-Glover,Robb-Stark,Undirected,361,,,5.0
Galbart-Glover,Roose-Bolton,Undirected,362,,,3.0
Gared,Jeor-Mormont,Undirected,363,,,4.0
Gared,Waymar-Royce,Undirected,364,,,13.0
Gared,Will-(prologue),Undirected,365,,,12.0
Gerold-Hightower,Oswell-Whent,Undirected,366,,,3.0
Gerold-Hightower,Robert-Baratheon,Undirected,367,,,4.0
Gregor-Clegane,Jaime-Lannister,Undirected,368,,,3.0
Gregor-Clegane,Loras-Tyrell,Undirected,369,,,10.0
Gregor-Clegane,Marq-Piper,Undirected,370,,,6.0
Gregor-Clegane,Petyr-Baelish,Undirected,371,,,3.0
Gregor-Clegane,Pycelle,Undirected,372,,,3.0
Gregor-Clegane,Robert-Baratheon,Undirected,373,,,4.0
Gregor-Clegane,Sandor-Clegane,Undirected,374,,,11.0
Gregor-Clegane,Sansa-Stark,Undirected,375,,,5.0
Gregor-Clegane,Tyrion-Lannister,Undirected,376,,,7.0
Gregor-Clegane,Tywin-Lannister,Undirected,377,,,6.0
Grenn,Halder,Undirected,378,,,6.0
Grenn,Jeor-Mormont,Undirected,379,,,3.0
Grenn,Jon-Snow,Undirected,380,,,31.0
Grenn,Pypar,Undirected,381,,,27.0
Grenn,Samwell-Tarly,Undirected,382,,,8.0
Grenn,Todder,Undirected,383,,,7.0
Gunthor-son-of-Gurn,Tyrion-Lannister,Undirected,384,,,7.0
Haggo,Mirri-Maz-Duur,Undirected,385,,,3.0
Haggo,Qotho,Undirected,386,,,11.0
Haggo,Rakharo,Undirected,387,,,3.0
Halder,Jon-Snow,Undirected,388,,,23.0
Halder,Pypar,Undirected,389,,,8.0
Halder,Rast,Undirected,390,,,3.0
Halder,Samwell-Tarly,Undirected,391,,,6.0
Halder,Todder,Undirected,392,,,3.0
Hallis-Mollen,Luwin,Undirected,393,,,4.0
Hallis-Mollen,Robb-Stark,Undirected,394,,,13.0
Hallis-Mollen,Theon-Greyjoy,Undirected,395,,,7.0
Harwin,Hullen,Undirected,396,,,3.0
Harwin,Jory-Cassel,Undirected,397,,,4.0
Harys-Swyft,Jaime-Lannister,Undirected,398,,,3.0
Heward,Jory-Cassel,Undirected,399,,,5.0
Heward,Wyl-(guard),Undirected,400,,,3.0
High-Septon-(fat_one),Joffrey-Baratheon,Undirected,401,,,4.0
Hobb,Jon-Snow,Undirected,402,,,5.0
Hodor,Luwin,Undirected,403,,,10.0
Hodor,Nan,Undirected,404,,,8.0
Hodor,Robb-Stark,Undirected,405,,,5.0
Hosteen-Frey,Jared-Frey,Undirected,406,,,3.0
Hoster-Tully,Lysa-Arryn,Undirected,407,,,3.0
Hoster-Tully,Robert-Baratheon,Undirected,408,,,3.0
Hugh,Jon-Arryn,Undirected,409,,,3.0
Hullen,Jory-Cassel,Undirected,410,,,5.0
Hullen,Luwin,Undirected,411,,,3.0
Hullen,Robb-Stark,Undirected,412,,,3.0
Hullen,Rodrik-Cassel,Undirected,413,,,3.0
Illyrio-Mopatis,Irri,Undirected,414,,,3.0
Illyrio-Mopatis,Jorah-Mormont,Undirected,415,,,7.0
Illyrio-Mopatis,Robert-Baratheon,Undirected,416,,,6.0
Illyrio-Mopatis,Viserys-Targaryen,Undirected,417,,,14.0
Ilyn-Payne,Jeyne-Poole,Undirected,418,,,3.0
Ilyn-Payne,Joffrey-Baratheon,Undirected,419,,,4.0
Ilyn-Payne,Loras-Tyrell,Undirected,420,,,3.0
Ilyn-Payne,Robert-Baratheon,Undirected,421,,,4.0
Ilyn-Payne,Sansa-Stark,Undirected,422,,,9.0
Ilyn-Payne,Varys,Undirected,423,,,5.0
Irri,Jhiqui,Undirected,424,,,14.0
Irri,Jhogo,Undirected,425,,,7.0
Irri,Jorah-Mormont,Undirected,426,,,4.0
Irri,Viserys-Targaryen,Undirected,427,,,5.0
Jafer-Flowers,Jaremy-Rykker,Undirected,428,,,3.0
Jaime-Lannister,Joffrey-Baratheon,Undirected,429,,,12.0
Jaime-Lannister,Jon-Arryn,Undirected,430,,,5.0
Jaime-Lannister,Jory-Cassel,Undirected,431,,,4.0
Jaime-Lannister,Kevan-Lannister,Undirected,432,,,4.0
Jaime-Lannister,Loras-Tyrell,Undirected,433,,,3.0
Jaime-Lannister,Lysa-Arryn,Undirected,434,,,6.0
Jaime-Lannister,Petyr-Baelish,Undirected,435,,,7.0
Jaime-Lannister,Renly-Baratheon,Undirected,436,,,4.0
Jaime-Lannister,Rickard-Karstark,Undirected,437,,,3.0
Jaime-Lannister,Robb-Stark,Undirected,438,,,9.0
Jaime-Lannister,Robert-Baratheon,Undirected,439,,,24.0
Jaime-Lannister,Rodrik-Cassel,Undirected,440,,,3.0
Jaime-Lannister,Sandor-Clegane,Undirected,441,,,12.0
Jaime-Lannister,Sansa-Stark,Undirected,442,,,3.0
Jaime-Lannister,Tyrion-Lannister,Undirected,443,,,36.0
Jaime-Lannister,Tywin-Lannister,Undirected,444,,,16.0
Jaime-Lannister,Varys,Undirected,445,,,3.0
Jaime-Lannister,Wyl-(guard),Undirected,446,,,3.0
Janos-Slynt,Joffrey-Baratheon,Undirected,447,,,4.0
Janos-Slynt,Petyr-Baelish,Undirected,448,,,3.0
Janos-Slynt,Pycelle,Undirected,449,,,3.0
Janos-Slynt,Robert-Baratheon,Undirected,450,,,4.0
Janos-Slynt,Sansa-Stark,Undirected,451,,,3.0
Jaremy-Rykker,Jeor-Mormont,Undirected,452,,,11.0
Jaremy-Rykker,Jon-Snow,Undirected,453,,,7.0
Jeor-Mormont,Jon-Snow,Undirected,454,,,81.0
Jeor-Mormont,Robert-Baratheon,Undirected,455,,,4.0
Jeor-Mormont,Samwell-Tarly,Undirected,456,,,8.0
Jeor-Mormont,Tyrion-Lannister,Undirected,457,,,23.0
Jeor-Mormont,Yoren,Undirected,458,,,3.0
